Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2015,Marcus Mariota,Oregon,QB,75.75,222,,4.52,,36,121,4.11,6.87
2015,Hutson Mason,Georgia,QB,74,207,,4.79,,,,,
2015,Nick Montana,Tulane (LA),QB,73,207,,4.84,,,,,
2015,Tyler Murphy,Boston College,QB,73,210,,4.78,,,,,
2015,Mark Myers,John Carroll (OH),QB,76,220,,4.92,,,,,
2015,Gary Nova,Rutgers,QB,73,222,,4.63,,,,,
2015,Bryce Petty,Baylor,QB,74.88,230,31,4.87,,34,121,4.13,6.91
2015,Kevin Rodgers,Henderson State (AR),QB,74,201,,5.12,,,,,
2015,Garrett Safron,Sacramento State (CA),QB,73,200,,4.76,,,,,
2015,Jesse Scroggins,Arizona,QB,75,208,,4.79,,,,,
2015,Max Shortell,Jacksonville State (AL),QB,77,240,,5.04,,,,,
2015,Jameill Showers,Texas-El Paso,QB,73,231,,4.76,,,,,
2015,Trevor Siemian,Northwestern,QB,75,210,,4.94,,,,,
2015,Blake Sims,Alabama,QB,71.5,218,,4.57,,30.5,115,,
2015,Cole Stoudt,Clemson,QB,76,218,,4.86,,,,,
2015,Pete Thomas,Louisiana-Monroe,QB,77,232,,5.06,,,,,
2015,Dylan Thompson,South Carolina,QB,74,223,,4.83,,,,,
2015,Bo Wallace,Mississippi,QB,76,211,,5.08,,,,,
2015,Jake Waters,Kansas State,QB,73,204,,4.85,,,,,
2015,Ryan Williams,Miami (FL),QB,76,220,,5.06,19,40,123,4.18,6.96
2015,Jameis Winston,Florida State,QB,76,231,27,4.97,,28.5,103,4.36,7.16
2014,Blake Bortles,Central Florida,QB,77,232,28,4.93,,32.5,114,4.21,7.08
2014,Tajh Boyd,Clemson,QB,72.63,222,,4.84,,30.5,104,4.23,7.33
2014,Teddy Bridgewater,Louisville,QB,74.13,214,20,,,30,112,4.2,7.17
2014,Derek Carr,Frenso State (CA),QB,74.38,214,20,4.69,,34.5,110,4.2,
2014,David Fales,San Jose State,QB,73.63,212,,4.99,,28,102,4.5,7.55
2014,Jimmy Garoppolo,Eastern Illinois,QB,74.25,226,24,4.97,,30.5,110,4.26,7.04
2014,Jordan Lynch,Northern Illinois,QB,72.13,217,,4.76,,29.5,109,4.2,6.55
2014,Johnny Manziel,Texas A&M,QB,71.75,207,32,4.68,,31.5,112,4.03,6.75
2014,Jeff Mathews,Cornell (NY),QB,75.75,223,,5.26,,25.5,104,4.36,7.14
2014,A.J. McCarron,Alabama,QB,75.25,220,,4.94,,28,99,4.34,
2014,Zach Mettenberger,Louisiana State,QB,76.88,224,,,,,,,
2014,Stephen Morris,Miami (FL),QB,73.88,213,,4.63,,30,111,4.49,7.36
2014,Bryn Renner,North Carolina,QB,75.25,228,,4.87,,25.5,108,4.3,7.22
2014,Tom Savage,Pittsburgh,QB,75.88,228,,4.97,,27,104,4.36,7.33
2014,Connor Shaw,South Carolina,QB,72.38,206,,4.66,,34,115,4.33,7.07
2014,Logan Thomas,Virginia Tech,QB,78.13,248,,4.61,,35.5,116,4.18,7.05
2014,Dustin Vaughan,West Texas A&M,QB,76.88,235,,4.95,,29,108,4.43,7.25
2014,Keith Wenning,Ball State (IN),QB,75,218,,5,,28,99,4.25,7.07
2013,Matt Barkley,Southern California,QB,74,230,30,4.91,,,,,
2013,Tyler Bray,Tennessee,QB,78.13,232,24,5.05,,,100,4.51,7.2
2013,Colby Cameron,Louisiana Tech,QB,74.13,212,,4.78,,30.5,112,4.28,6.98
2013,Zac Dysert,Miami (OH),QB,75,227,24,4.81,,,,,
2013,Mike Glennon,North Carolina State,QB,79.13,225,26,4.94,,26.5,102,4.52,7.49
2013,Landry Jones,Oklahoma,QB,76.13,225,28,5.11,,31,115,4.3,7.12
2013,Collin Klein,Kansas State,QB,76.88,226,,4.78,,29,111,4.4,7.17
2013,E.J. Manuel,Florida State,QB,76.63,237,28,4.65,,34,118,4.21,7.08
2013,Ryan Nassib,Syracuse,QB,74.13,227,41,5.06,,28.5,105,4.53,7.34
2013,Matt Scott,Arizona,QB,74.13,213,22,4.69,,31,118,3.99,6.69
2013,Geno Smith,West Virginia,QB,74.38,218,24,4.58,,33.5,124,,
2013,Brad Sorensen,Southern Utah,QB,76.5,229,,4.97,,29,112,4.55,7.17
2013,James Vandenberg,Iowa,QB,74.75,226,,4.92,,32,116,4.52,6.95
2013,Tyler Wilson,Arkansas,QB,74,215,20,4.95,,28.5,112,4.39,7.22
2012,B.J. Coleman,Tennessee-Chattanooga,QB,75,233,,4.95,,,109,4.38,7.07
2012,Aaron Corp,Richmond (VA),QB,75.5,215,,4.61,,31.5,106,4.3,7.03
2012,Kirk Cousins,Michigan State,QB,74.63,214,33,4.84,,28.5,109,4.5,7.05
2012,Austin Davis,Southern Mississippi,QB,73.63,219,,4.69,,31,109,4.11,6.73
2012,Nick Foles,Arizona,QB,77,243,29,5.03,,30.5,112,,
2012,Robert Griffin,Baylor,QB,74.38,223,24,4.33,,39,120,,
2012,Tyler Hansen,Colorado,QB,73,218,,4.85,,,,,
2012,Chandler Harnish,Northern Illinois,QB,73.63,219,,4.68,,32.5,112,4.15,6.78
2012,Jacory Harris,Miami (FL),QB,75,203,,4.65,,37,113,4.4,7.1
2012,Jordan Jefferson,Louisiana State,QB,76.13,223,,4.58,14,36.5,116,4.06,6.81
2012,Case Keenum,Houston,QB,72.63,208,,4.72,,32.5,103,,
2012,Ryan Lindley,San Diego State,QB,75.75,229,35,4.86,,29.5,108,4.45,7.52
2012,Andrew Luck,Stanford,QB,76,234,37,4.59,,36,124,4.28,6.8
2012,Kellen Moore,Boise State,QB,72,197,26,4.82,,27,99,4.56,7.41
2012,Brock Osweiler,Arizona State,QB,78.88,242,25,4.83,,,,,
2012,Ryan Tannehill,Texas A&M,QB,75.88,221,34,4.65,,,,,
2012,Darron Thomas,Oregon,QB,74.63,220,,4.77,14,36,121,4.28,7.17
2012,Brandon Weeden,Oklahoma State,QB,75.5,221,27,4.89,,,,,
2012,Russell Wilson,Wisconsin,QB,70.63,204,28,4.53,,34,118,4.09,6.97
2012,Patrick Witt,Yale,QB,76,225,,5.08,,31.5,101,4.37,7.14
2011,Ryan Colburn,Frenso State (CA),QB,74.75,233,,5.12,,,,4.28,6.84
2011,Andy Dalton,Texas Christian,QB,74,215,29,4.83,,29.5,106,4.27,6.93
2011,Pat Devlin,Delaware,QB,75.38,225,,4.81,,33,116,4.32,7.08
2011,Nathan Enderle,Idaho,QB,76.13,240,,5.12,,25.5,102,4.46,7.13
2011,Blaine Gabbert,Missouri,QB,76.38,234,42,4.61,,33.5,120,4.26,6.84
2011,Jerrod Johnson,Texas A&M,QB,77.13,251,,4.75,,29,119,4.31,7.28
2011,Colin Kaepernick,Nevada,QB,76.63,233,,4.53,,32.5,115,4.18,6.85
2011,Jake Locker,Washington,QB,74.5,231,20,4.51,,35,115,4.12,6.77
2011,Ryan Mallett,Arkansas,QB,78.75,253,26,5.24,,24,103,,
2011,Greg McElroy,Alabama,QB,73.88,220,43,4.84,,33,107,4.45,7.11
2011,Cam Newton,Auburn,QB,77,248,21,4.56,,35,126,4.18,6.92
2011,Christian Ponder,Florida State,QB,74,229,35,4.63,,34,116,4.09,6.85
2011,Josh Portis,California (PA),QB,74.88,211,,4.59,,40,126,4.12,6.84
2011,Ricky Stanzi,Iowa,QB,76.38,223,30,4.87,,32.5,110,4.43,6.95
2011,Tyrod Taylor,Virginia Tech,QB,72.75,217,,4.47,,37.5,126,4.09,6.78
2011,Scott Tolzien,Wisconsin,QB,74,212,,4.92,,29.5,116,4.12,6.84
2011,Jeff Van Camp,Florida Atlantic,QB,77,218,,4.83,,31,114,4.16,6.87
2011,Taylor Yates,North Carolina,QB,75,219,,5.06,,29.5,104,4.12,6.96
2010,Sam Bradford,Oklahoma,QB,76.25,236,36,4.79,,,,,
2010,Jarrett Brown,West Virginia,QB,74.88,224,,4.5,,34.5,114,4.39,7.24
2010,Levi Brown,Troy (AL),QB,75.5,229,,4.93,20,31.5,106,4.43,7.07
2010,Sean Canfield,Oregon State,QB,75.75,223,,4.93,,29.5,100,4.39,7.26
2010,Daryll Clark,Penn State,QB,73.88,235,,4.72,21,,,,
2010,Jimmy Clausen,Notre Dame,QB,74.63,222,23,4.76,,,,,
2010,Max Hall,Brigham Young,QB,72.63,209,,4.84,,32,102,4.35,7.07
2010,Tim Hiller,Western Michigan,QB,76,229,,4.97,18,32.5,118,4.54,7.1
2010,Mike Kafka,Northwestern,QB,75.13,225,,4.93,,32,110,4.37,6.96
2010,Dan LeFevour,Central Michigan,QB,75.25,230,,4.6,,29.5,110,4.22,6.93
2010,Thaddeus Lewis,Duke,QB,72.5,215,,4.84,,28,107,,
2010,Colt McCoy,Texas,QB,73.13,216,25,4.79,,,114,,
2010,Tony Pike,Cincinnati,QB,77.75,223,,4.9,,28.5,108,4.53,7.06
2010,Zac Robinson,Oklahoma State,QB,74.5,214,,4.68,,35,110,4.4,7.24
2010,John Skelton,Fordham (NY),QB,77.38,243,24,4.85,,33.5,108,4.33,7.17
2010,Riley Skinner,Wake Forest,QB,72,214,,5.05,,30,101,4.29,7.04
2010,Jevan Snead,Mississippi,QB,75,219,22,5.04,,33,106,4.33,7.08
2010,Tim Tebow,Florida,QB,75,236,22,4.71,,38.5,115,4.17,6.66
2009,Jason Boltus,Hartwick (NY),QB,74.75,225,,4.82,26,31.5,111,4.47,7
2009,Rhett Bomar,Sam Houston State (TX),QB,74.25,225,,4.7,25,,106,4.06,6.91
2009,Tom Brandstater,Frenso State (CA),QB,77,220,,4.87,,28.5,106,4.37,6.93
2009,Nathan Brown,Central Arkansas,QB,72.63,219,,4.86,,30.5,106,4.44,7.43
2009,Hunter Cantwell,Louisville,QB,76.38,235,,5.22,,26,99,4.59,7.4
2009,Chase Daniel,Missouri,QB,72,218,,4.79,,33,,4.31,7.28
2009,Nate Davis,Ball State (IN),QB,73.38,226,,4.95,,26.5,99,,
2009,Josh Freeman,Kansas State,QB,77.75,248,27,4.9,,33.5,119,4.43,7.11
2009,Cullen Harper,Clemson,QB,75,225,,4.95,19,30,105,4.49,7.43
2009,Graham Harrell,Texas Tech,QB,74.13,223,23,5.07,,29.5,98,4.56,7.45
2009,Chase Holbrook,New Mexico State,QB,76.13,242,,5.12,,27,108,4.65,7.93
2009,Brian Hoyer,Michigan State,QB,74,215,,5.02,,32,109,4.42,7.1
2009,Stephen McGee,Texas A&M,QB,74.88,225,,4.61,,33,112,4.49,7.34
2009,Curtis Painter,Purdue,QB,74.88,225,,4.87,,29,102,4.48,7
2009,Mike Reilly,Central Washington,QB,75,214,,4.79,,30.5,109,4.11,6.76
2009,Mark Sanchez,Southern California,QB,74.13,227,28,4.93,,32.5,116,4.21,7.06
2009,Matthew Stafford,Georgia,QB,74.25,225,38,4.81,,30.5,107,4.47,7.06
2009,Pat White,West Virginia,QB,72.25,197,,4.55,,35,117,4.42,7.06
2009,Drew Willy,Buffalo,QB,75.13,215,,4.9,,30.5,109,4.45,7.18
2009,John Parker Wilson,Alabama,QB,74,219,,4.75,,29.5,105,4.59,7.53
2008,Erik Ainge,Tennessee,QB,77.5,225,22,5.04,,21.5,108,4.6,7.51
2008,John David Booty,Southern California,QB,74.38,218,14,4.93,,22.5,99,4.58,
2008,Alex Brink,Washington State,QB,74.25,211,27,5.03,,28,112,4.19,7.22
2008,Brian Brohm,Louisville,QB,74.88,230,32,4.85,,30,115,4.55,7.13
2008,Joe Flacco,Delaware,QB,78.38,236,27,4.86,,28.5,110,4.27,6.82
2008,Matt Flynn,Louisiana State,QB,74.25,231,38,4.81,,28,109,4.34,7.21
2008,Chad Henne,Michigan,QB,74.88,230,22,4.95,,25.5,106,4.4,7.17
2008,Josh Johnson,San Diego,QB,74.75,213,24,4.53,16,33.5,110,4.42,7.56
2008,Sam Keller,Nebraska,QB,75.63,241,,5.03,,24,107,4.35,7.07
2008,Anthony Morelli,Penn State,QB,75.63,231,,5.09,16,26.5,108,4.6,7.43
2008,Bernard Morris,Marshall (WV),QB,75,223,,4.77,18,24.5,109,,
2008,Kevin O'Connell,San Diego State,QB,77,225,24,4.66,,31,113,4.38,7.01
2008,Matt Ryan,Boston College,QB,76.75,228,32,4.94,,,,4.51,7.4
2008,Paul Smith,Tulsa (OK),QB,73.25,208,,4.97,,26.5,111,4.29,7.02
2008,Adam Tafralis,San Jose State,QB,73.13,221,,4.85,,32,108,4.33,7.14
2008,Kyle Wright,Miami (FL),QB,75.4,218,,4.9,,25.5,105,4.32,7.34
2007,John Beck,Brigham Young,QB,74.13,215,30,4.78,,29.5,111,4.17,6.81
2007,Trent Edwards,Stanford,QB,76.13,231,31,4.78,19,,,4.46,7.14
2007,Luke Getsy,Akron,QB,74.5,222,20,4.99,,32.5,106,4.46,6.95
2007,Matt Gutierrez,Idaho State,QB,76.25,232,28,5.04,,29.5,108,4.28,6.99
2007,Kevin Kolb,Houston,QB,75.13,218,,4.89,,32.5,112,4.44,6.94
2007,Toby Korrodi,Central Missouri,QB,75.5,234,12,5.37,,25,91,4.64,7.77
2007,Chris Leak,Florida,QB,71.88,209,,4.77,,32.5,113,4.41,7.03
2007,Tyler Palko,Pittsburgh,QB,73.38,215,18,4.88,,31.5,112,4.36,7.05
2007,Jordan Palmer,Texas-El Paso,QB,77.63,231,23,4.99,,30.5,104,4.58,7.32
2007,James Pinkney,East Carolina (NC),QB,74.5,208,,4.81,,34,112,4.49,7.35
2007,Brady Quinn,Notre Dame,QB,75.75,232,29,4.73,24,,,,
2007,Jeff Rowe,Nevada,QB,77.25,226,21,4.91,,29.5,114,4.42,6.72
2007,JaMarcus Russell,Louisiana State,QB,77.5,265,24,4.83,,,,,
2007,Drew Stanton,Michigan State,QB,75.25,226,35,4.77,,30.5,108,4.41,6.77
2007,John Stocco,Wisconsin,QB,73.63,207,,5.1,,27,104,4.6,7.29
2007,Josh Swogger,Montana,QB,76.5,237,,5.14,,28.5,107,4.76,7.25
2007,Zac Taylor,Nebraska,QB,74.38,216,,5.08,,30.5,110,4.6,7.39
2007,Jared Zabransky,Boise State,QB,74.1,219,36,4.59,,35.5,111,4.08,6.78
2006,Brett Basanez,Northwestern,QB,73.25,220,,4.79,,34,114,4.22,6.75
2006,Kellen Clemens,Oregon,QB,73.63,224,35,4.89,,,,,
2006,Brodie Croyle,Alabama,QB,74.5,205,24,4.94,,30.5,104,4.25,7.34
2006,Jay Cutler,Vanderbilt,QB,75.25,226,26,4.81,23,,,4.26,7.1
2006,Bruce Eugene,Grambling State (LA),QB,72.25,260,,5.13,,27.5,94,4.76,7.97
2006,Bruce Gradkowski,Toledo,QB,73.38,217,,4.63,,34,107,4.16,7.12
2006,Darrell Hackney,Alabama-Birmingham,QB,71.63,239,40,4.86,,33,110,4.69,7.62
2006,Tarvaris Jackson,Alabama State,QB,74,226,19,4.7,22,31.5,107,4.38,7.4
2006,Omar Jacobs,Bowling Green (OH),QB,75.88,232,38,4.86,,32.5,108,4.29,7.47
2006,Matt Leinart,Southern California,QB,76.88,223,35,4.9,,,,,
2006,Travis Lulay,Montana State,QB,74.38,216,37,4.74,,35,111,4.07,6.93
2006,Ingle Martin,Furman (SC),QB,74.25,220,30,4.72,,36,111,4.17,7.13
2006,Reggie McNeal,Texas A&M,QB,74,198,,4.43,,32,121,4.25,6.96
2006,Erik Meyer,Eastern Washington,QB,73,210,,4.7,,32.5,112,4.12,6.83
2006,Barrick Nealy,Texas State,QB,76,226,,4.65,,32.5,114,4.26,6.94
2006,Drew Olson,UCLA,QB,73.63,222,,5.12,,23,97,4.42,
2006,Paul Pinegar,Frenso State (CA),QB,76.88,232,,5.14,,29,110,4.49,7.36
2006,Quinton Porter,Boston College,QB,76.63,233,,4.72,,33.5,116,4.1,6.76
2006,D.J. Shockley,Georgia,QB,73.13,214,19,4.61,,37.5,121,4.17,7.07
2006,Kent Smith,Central Michigan,QB,76.75,216,,4.64,,35,122,4.47,7.41
2006,Marcus Vick,Virginia Tech,QB,72,200,11,4.51,,36,117,4.08,6.94
2006,Charlie Whitehurst,Clemson,QB,76.75,223,33,4.76,,33,112,4.11,7
2006,Vince Young,Texas,QB,76.6,229,15,4.48,,,,,
2005,Jared Allen,Florida Atlantic,QB,74.25,218,19,5,,27.5,106,4.39,7.29
2005,Derek Anderson,Oregon State,QB,78.13,242,23,5.06,,29,101,4.62,7.67
2005,Brock Berlin,Miami (FL),QB,73.5,221,13,4.89,,29,106,4.54,7.49
2005,Jason Campbell,Auburn,QB,76.75,230,28,4.72,,,,,7.42
2005,Timmy Chang,Hawaii,QB,73,211,26,5.1,,29,103,4.2,7.24
2005,Ryan Fitzpatrick,Harvard,QB,74.38,232,48,4.87,,30.5,103,4.07,7.09
2005,Charlie Frye,Akron,QB,75.88,225,38,4.85,,33,109,4.08,6.94
2005,David Greene,Georgia,QB,75.5,226,21,4.8,,31.5,113,4.1,7
2005,Gino Guidugli,Cincinnati,QB,75.75,229,30,5.04,,29,97,4.52,7.41
2005,Josh Haldi,Northern Illinois,QB,74,215,30,4.68,,33,113,4.07,6.89
2005,Stefan LeFors,Louisville,QB,72.13,208,35,4.61,,31,111,4.09,7.03
2005,Dustin Long,Sam Houston State (TX),QB,74.5,208,,4.69,,30.5,108,4.08,6.77
2005,Adrian McPherson,Florida State,QB,75.5,218,26,4.73,22,34.5,128,4.08,6.93
2005,Craig Ochs,Montana,QB,73.75,218,,4.91,,28.5,101,4.13,7.03
2005,Dan Orlovsky,Connecticut,QB,77,225,30,4.98,,29.5,105,4.39,7.33
2005,Kyle Orton,Purdue,QB,76,233,27,5.11,,26.5,,4.52,7.38
2005,Bryan Randall,Virginia Tech,QB,72.25,225,19,4.72,,33,112,4.08,6.97
2005,Chris Rix,Florida State,QB,74,214,26,4.73,,33.5,113,4.53,7.53
2005,Aaron Rodgers,California,QB,74,223,39,4.75,,34.5,110,,7.38
2005,Alex Smith,Utah,QB,76.13,217,40,4.78,,32,113,3.96,6.82
2005,Jason White,Oklahoma,QB,74.5,223,31,4.93,,31,102,4.19,7.28
2004,Jason Fife,Oregon,QB,75.9,226,26,4.95,,30.5,113,4.18,7.28
2004,Josh Harris,Bowling Green (OH),QB,73.5,238,25,4.84,,31,115,,
2004,Robert Kent,Jackson State (MS),QB,76.3,222,,4.85,,26.5,110,4.22,7.69
2004,Craig Krenzel,Ohio State,QB,75.5,228,38,4.84,,28,112,4.08,7.22
2004,J.P. Losman,Tulane (LA),QB,74.3,224,31,4.7,,33,116,,
2004,Eli Manning,Mississippi,QB,76.8,221,39,4.9,,,,,
2004,Luke McCown,Louisiana Tech,QB,75.9,208,24,4.71,,37.5,125,4.21,6.74
2004,John Navarre,Michigan,QB,78,246,24,5.18,,26.5,100,4.46,7.73
2004,Cody Pickett,Washington,QB,75.5,233,19,4.8,,30.5,109,4.3,7.19
2004,Scott Rislov,San Jose State,QB,73,224,,4.94,,30,119,4.34,7.44
2004,Philip Rivers,North Carolina State,QB,77,229,30,5.08,,,,,
2004,Ben Roethlisberger,Miami (OH),QB,76.9,241,25,4.75,,,,,
2004,Rod Rutherford,Pittsburgh,QB,73.6,240,17,4.79,,30.5,110,4.41,7.66
2004,Matt Schaub,Virginia,QB,77.6,243,30,5.05,,30.5,110,4.62,7.65
2004,Jeff Smoker,Michigan State,QB,75.1,223,23,4.95,,26.5,101,4.36,7.65
2004,Bradlee Van Pelt,Colorado State,QB,74.3,231,25,4.96,,33.5,115,4.11,6.89
2003,Brad Banks,Iowa,QB,70.8,201,13,4.67,,33.5,112,,
2003,Josh Blankenship,Tulsa (OK),QB,74,211,24,5.16,,28.5,103,4.42,7.59
2003,Kyle Boller,California,QB,75,234,27,4.65,,35.5,117,3.99,7.19
2003,D Bryant,Duke,QB,74,218,23,4.78,,35.5,114,4.34,7.36
2003,Rex Grossman,Florida,QB,73,217,29,5.06,,,,,
2003,Kliff Kingsbury,Texas Tech,QB,75.5,213,31,4.76,,30,101,4.07,6.91
2003,Byron Leftwich,Marshall (WV),QB,77.4,241,25,5.1,,,,,
